layout,inner_hc4,original_ms,reduced_ms,speedup,cell_reduction
filled_skew,0,2955.1639,14.404399999999999,205.15702840798647,83.0
filled_skew,1,3400.6859999999997,14.213,239.26588334623233,95.9
near_height_endpoint,0,2261.0215,13.0458,173.31413175121494,68.33333333333333
near_height_endpoint,1,1860.3620999999998,12.0348,154.58188752617409,82.0
shifted,0,658.7772,10.703199999999999,61.54955527318933,37.4
shifted,1,725.6711,12.2074,59.445180791978636,34.5
skew,0,1530.3852,12.1032,126.4446757882213,69.5
skew,1,1451.4323,13.045,111.26349559218092,72.83333333333333
slender,0,435.84450000000004,5.773000000000001,75.49705525723193,41.666666666666664
slender,1,431.29220000000004,8.2574,52.2309928064524,34.25
wide_unequal,0,1653.5579,10.989199999999999,150.47118079569032,120.4
wide_unequal,1,2022.7550999999999,13.376100000000001,151.22158925247268,130.2
